Symbol,Price,RSI_Len,RSI_Val,Signal
AMZN,198.79,12,20.29,OVERSOLD
AMZN,198.79,14,22.82,OVERSOLD
AMZN,198.79,16,24.91,CROSS_DOWN (NEW)
